Nom_Fichier,NM_mean,U_mean,T_max,S_max_input,Hs_max,Tp_max,Dp_max,DU_max,Niveau_Total_Estime,Y_Smax
Dataset_X_sc_1.csv,0.8599999999999999,16.75702702702703,2.21,0.51,6.91,20.14,246.59,315.89,3.58,64053.0
Dataset_X_sc_10.csv,0.9500000000000002,30.81324324324324,2.25,0.59,8.81,20.87,267.99,279.87,3.79,166437.0
Dataset_X_sc_100.csv,0.5150000000000001,19.42648648648649,2.36,0.59,5.95,12.2,258.0,271.91,3.465,4167.0
Dataset_X_sc_101.csv,0.5180000000000001,13.717567567567569,2.41,0.24,6.62,13.33,252.0,301.25,3.168,144.0
Dataset_X_sc_102.csv,0.374,13.522972972972974,2.36,0.33,1.15,10.91,293.53,52.68,3.064,0.0
Dataset_X_sc_103.csv,0.374,2.212702702702703,2.1,0.2,1.79,12.29,285.74,227.96,2.6740000000000004,0.0
Dataset_X_sc_104.csv,0.4950000000000001,10.52,2.28,0.36,3.71,12.52,258.73,225.26,3.135,108.0
Dataset_X_sc_105.csv,0.4950000000000001,12.942432432432431,2.03,0.46,4.27,13.72,255.65,247.02,2.985,0.0
Dataset_X_sc_106.csv,0.4989999999999998,3.88,1.99,0.32,4.32,16.0,251.47,287.02,2.809,0.0
Dataset_X_sc_107.csv,0.4989999999999998,7.508378378378377,1.98,0.19,5.09,16.0,251.47,212.88,2.669,0.0
Dataset_X_sc_108.csv,0.5210000000000001,17.22108108108108,2.35,0.71,2.97,10.6,251.33,336.65,3.5810000000000004,1215.0
Dataset_X_sc_109.csv,0.298,16.442972972972974,1.69,0.34,4.54,11.26,244.18,238.63,2.328,0.0
Dataset_X_sc_11.csv,1.3699999999999997,13.408378378378378,2.44,0.51,5.72,18.44,253.97,269.37,4.319999999999999,260757.0
Dataset_X_sc_110.csv,0.307,14.537297297297297,2.44,0.48,5.9,15.93,248.16,231.17,3.227,5589.0
Dataset_X_sc_111.csv,0.3320000000000001,11.066486486486488,2.19,0.18,3.29,11.26,267.94,270.49,2.7020000000000004,0.0
Dataset_X_sc_112.csv,0.3320000000000001,10.117567567567567,2.04,0.12,4.4,12.61,258.99,283.81,2.4920000000000004,0.0
Dataset_X_sc_113.csv,0.3569999999999999,11.28972972972973,1.67,0.26,4.35,18.65,260.0,178.48,2.287,0.0
Dataset_X_sc_114.csv,0.3569999999999999,10.885675675675676,1.57,0.35,4.61,16.82,260.3,256.19,2.277,0.0
Dataset_X_sc_115.csv,0.3569999999999999,3.457297297297297,2.33,0.26,2.25,9.08,248.82,280.27,2.947,0.0
Dataset_X_sc_116.csv,0.5150000000000001,19.42648648648649,2.36,0.8,5.95,12.2,258.0,271.91,3.675,14112.0
Dataset_X_sc_117.csv,0.5150000000000001,19.42648648648649,2.36,0.8,5.95,12.2,258.0,271.91,3.675,28557.0
Dataset_X_sc_118.csv,1.515,19.42648648648649,2.36,0.8,5.95,12.2,258.0,271.91,4.675,264942.0
Dataset_X_sc_119.csv,0.462,10.075675675675676,2.13,0.67,9.05,21.35,259.44,317.59,3.262,24777.0
Dataset_X_sc_12.csv,1.9000000000000004,12.245945945945945,2.23,0.14,1.87,8.15,279.16,194.11,4.2700000000000005,162387.0
Dataset_X_sc_120.csv,0.5509999999999998,13.108648648648648,2.06,0.56,6.69,19.54,242.27,223.32,3.171,15345.0
Dataset_X_sc_121.csv,0.599,15.399729729729728,2.23,0.24,4.45,11.91,236.76,236.21,3.069,81.0
Dataset_X_sc_122.csv,0.6080000000000001,16.08486486486487,1.98,0.35,5.92,13.56,247.86,209.3,2.938,0.0
Dataset_X_sc_123.csv,0.6149999999999998,21.92648648648649,2.36,0.59,6.45,12.2,258.0,271.91,3.5649999999999995,8370.0
Dataset_X_sc_124.csv,0.599,6.38,1.99,0.32,4.82,16.0,251.47,287.02,2.909,18.0
Dataset_X_sc_125.csv,0.6209999999999998,19.72108108108108,2.35,0.71,3.47,10.6,251.33,336.65,3.681,3078.0
Dataset_X_sc_126.csv,0.5620000000000002,12.575675675675676,2.13,0.67,9.55,21.35,259.44,317.59,3.362,36729.0
Dataset_X_sc_127.csv,0.651,15.608648648648652,2.06,0.56,7.19,19.54,242.27,223.32,3.2710000000000004,31644.0
Dataset_X_sc_128.csv,0.6990000000000002,17.899729729729728,2.23,0.24,4.95,11.91,236.76,236.21,3.1690000000000005,1683.0
Dataset_X_sc_129.csv,0.7079999999999997,18.58486486486487,1.98,0.35,6.42,13.56,247.86,209.3,3.038,36.0
Dataset_X_sc_13.csv,1.57,16.24891891891892,1.94,0.8,9.16,19.15,250.58,119.03,4.31,267345.0
Dataset_X_sc_130.csv,0.718,18.522702702702706,2.41,0.23,7.59,13.33,252.0,301.25,3.358,3609.0
Dataset_X_sc_131.csv,0.6990000000000002,8.879999999999999,1.99,0.32,5.32,16.0,251.47,287.02,3.009,108.0
Dataset_X_sc_132.csv,0.721,22.22108108108108,2.35,0.71,3.97,10.6,251.33,336.65,3.781,14229.0
Dataset_X_sc_133.csv,0.6999999999999998,8.524864864864863,2.5,0.17,1.33,12.83,263.76,56.11,3.37,18.0
Dataset_X_sc_134.csv,0.6999999999999998,8.12945945945946,2.27,0.21,1.33,12.75,267.99,46.33,3.18,0.0
Dataset_X_sc_135.csv,0.6999999999999998,7.062972972972974,2.56,0.2,1.11,11.84,269.43,27.1,3.46,144.0
Dataset_X_sc_136.csv,0.6999999999999998,5.7532432432432445,2.25,0.14,0.89,12.01,271.25,17.2,3.09,0.0
Dataset_X_sc_137.csv,0.6999999999999998,3.923243243243244,2.44,0.1,0.73,16.75,266.67,48.18,3.24,9.0
Dataset_X_sc_138.csv,0.9099999999999998,23.06324324324324,2.36,0.71,7.18,14.66,309.6,326.29,3.98,94752.0
Dataset_X_sc_139.csv,0.8500000000000002,14.142972972972972,2.62,0.84,5.79,10.62,230.03,260.36,4.3100000000000005,221868.0
Dataset_X_sc_14.csv,1.79,17.538378378378383,2.58,0.58,5.19,12.15,267.66,352.36,4.95,290052.0
Dataset_X_sc_140.csv,0.8500000000000002,21.213243243243245,2.62,0.84,8.69,15.94,230.03,260.36,4.3100000000000005,279792.0
Dataset_X_sc_141.csv,0.8500000000000002,21.213243243243245,2.62,0.84,8.69,15.94,260.03,290.36,4.3100000000000005,267156.0
Dataset_X_sc_142.csv,0.8500000000000002,14.142972972972972,2.62,0.84,5.79,15.94,260.03,290.36,4.3100000000000005,255240.0
Dataset_X_sc_143.csv,0.8500000000000002,12.181351351351353,2.62,0.84,2.07,7.33,227.11,236.51,4.3100000000000005,166797.0
Dataset_X_sc_144.csv,0.8500000000000002,18.27162162162162,2.62,0.84,3.11,10.99,227.11,236.51,4.3100000000000005,208008.0
Dataset_X_sc_145.csv,0.8500000000000002,18.27162162162162,2.62,0.84,3.11,10.99,257.11,266.51,4.3100000000000005,204354.0
Dataset_X_sc_146.csv,0.8500000000000002,12.181351351351353,2.62,0.84,2.07,10.99,257.11,266.51,4.3100000000000005,181863.0
Dataset_X_sc_147.csv,0.8500000000000002,12.443243243243243,2.62,0.84,4.91,7.54,243.36,183.43,4.3100000000000005,173250.0
Dataset_X_sc_148.csv,0.8500000000000002,18.66594594594595,2.62,0.84,7.37,11.3,243.36,183.43,4.3100000000000005,223956.0
Dataset_X_sc_149.csv,0.8500000000000002,18.66594594594595,2.62,0.84,7.37,11.3,273.36,213.43,4.3100000000000005,216666.0
Dataset_X_sc_15.csv,1.6000000000000003,8.187567567567568,2.12,0.24,3.9,11.65,272.99,153.21,3.960000000000001,43713.0
Dataset_X_sc_150.csv,0.8500000000000002,12.443243243243243,2.62,0.84,4.91,11.3,273.36,213.43,4.3100000000000005,197037.0
Dataset_X_sc_151.csv,0.8500000000000002,9.7972972972973,2.62,0.84,1.5,6.52,264.16,179.11,4.3100000000000005,165303.0
Dataset_X_sc_152.csv,0.8500000000000002,14.694594594594596,2.62,0.84,2.24,9.78,264.16,179.11,4.3100000000000005,175734.0
Dataset_X_sc_153.csv,0.8500000000000002,14.694594594594596,2.62,0.84,2.24,9.78,294.16,209.11,4.3100000000000005,173709.0
Dataset_X_sc_154.csv,0.8500000000000002,9.7972972972973,2.62,0.84,1.5,9.78,294.16,209.11,4.3100000000000005,168039.0
Dataset_X_sc_155.csv,0.8500000000000002,6.551081081081081,2.62,0.84,3.12,9.32,257.99,138.21,4.3100000000000005,170955.0
Dataset_X_sc_156.csv,0.8500000000000002,9.824054054054054,2.62,0.84,4.68,13.98,257.99,138.21,4.3100000000000005,218133.0
Dataset_X_sc_157.csv,0.8500000000000002,9.824054054054054,2.62,0.84,4.68,13.98,287.99,168.21,4.3100000000000005,202149.0
Dataset_X_sc_158.csv,0.8500000000000002,6.551081081081081,2.62,0.84,3.12,13.98,287.99,168.21,4.3100000000000005,183825.0
Dataset_X_sc_159.csv,0.8500000000000002,8.958648648648651,2.62,0.84,3.54,9.63,266.73,286.43,4.3100000000000005,177273.0
Dataset_X_sc_16.csv,1.7299999999999998,4.832972972972972,2.15,0.29,0.67,12.14,266.6,234.97,4.17,125028.0
Dataset_X_sc_160.csv,0.8500000000000002,13.438108108108109,2.62,0.84,5.32,14.45,266.73,286.43,4.3100000000000005,236511.0
Dataset_X_sc_161.csv,0.8500000000000002,13.438108108108109,2.62,0.84,5.32,14.45,296.73,316.43,4.3100000000000005,216036.0
Dataset_X_sc_162.csv,0.8500000000000002,8.958648648648651,2.62,0.84,3.54,14.45,296.73,316.43,4.3100000000000005,192447.0
Dataset_X_sc_163.csv,1.64,12.181351351351353,2.23,0.4,2.07,7.33,227.11,236.51,4.2700000000000005,158931.0
Dataset_X_sc_164.csv,1.64,18.27162162162162,2.23,0.4,3.11,10.99,227.11,236.51,4.2700000000000005,199782.0
Dataset_X_sc_165.csv,1.64,18.27162162162162,2.23,0.4,3.11,10.99,257.11,266.51,4.2700000000000005,194724.0
Dataset_X_sc_166.csv,1.64,12.181351351351353,2.23,0.4,2.07,10.99,257.11,266.51,4.2700000000000005,173421.0
Dataset_X_sc_167.csv,1.4799999999999995,12.443243243243243,1.83,0.68,4.91,7.54,243.36,183.43,3.99,63873.0
Dataset_X_sc_168.csv,1.4799999999999995,18.66594594594595,1.83,0.68,7.37,11.3,243.36,183.43,3.99,137952.0
Dataset_X_sc_169.csv,1.4799999999999995,18.66594594594595,1.83,0.68,7.37,11.3,273.36,213.43,3.99,122067.0
Dataset_X_sc_17.csv,1.4900000000000002,33.78351351351351,2.21,0.61,8.56,13.11,259.87,356.58,4.3100000000000005,242064.0
Dataset_X_sc_170.csv,1.4799999999999995,12.443243243243243,1.83,0.68,4.91,11.3,273.36,213.43,3.99,89847.0
Dataset_X_sc_171.csv,1.9000000000000004,9.7972972972973,2.23,0.14,1.5,6.52,264.16,179.11,4.2700000000000005,159507.0
Dataset_X_sc_172.csv,1.9000000000000004,14.694594594594596,2.23,0.14,2.24,9.78,264.16,179.11,4.2700000000000005,169506.0
Dataset_X_sc_173.csv,1.9000000000000004,14.694594594594596,2.23,0.14,2.24,9.78,294.16,209.11,4.2700000000000005,167517.0
Dataset_X_sc_174.csv,1.9000000000000004,9.7972972972973,2.23,0.14,1.5,9.78,294.16,209.11,4.2700000000000005,162369.0
Dataset_X_sc_175.csv,1.6000000000000003,6.551081081081081,2.12,0.24,3.12,9.32,257.99,138.21,3.960000000000001,21267.0
Dataset_X_sc_176.csv,1.6000000000000003,9.824054054054054,2.12,0.24,4.68,13.98,257.99,138.21,3.960000000000001,91440.0
Dataset_X_sc_177.csv,1.6000000000000003,9.824054054054054,2.12,0.24,4.68,13.98,287.99,168.21,3.960000000000001,60975.0
Dataset_X_sc_178.csv,1.6000000000000003,9.824054054054054,2.12,0.24,4.68,13.98,287.99,168.21,3.960000000000001,60903.0
Dataset_X_sc_179.csv,1.94,8.958648648648651,2.05,0.06,3.54,9.63,266.73,286.43,4.049999999999999,91836.0
Dataset_X_sc_18.csv,0.7800000000000001,13.256756756756756,2.11,0.2,3.59,16.89,307.61,252.43,3.0900000000000003,144.0
Dataset_X_sc_180.csv,1.94,13.438108108108109,2.05,0.06,5.32,14.45,266.73,286.43,4.049999999999999,175248.0
Dataset_X_sc_181.csv,1.94,13.438108108108109,2.05,0.06,5.32,14.45,296.73,316.43,4.049999999999999,130860.0
Dataset_X_sc_182.csv,1.94,8.958648648648651,2.05,0.06,3.54,14.45,296.73,316.43,4.049999999999999,105759.0
Dataset_X_sc_183.csv,0.31,6.583513513513513,1.75,-0.17,2.3,11.29,274.7,311.63,1.89,0.0
Dataset_X_sc_184.csv,0.4299999999999999,5.098648648648648,1.43,-0.05,1.5,6.75,261.06,271.48,1.81,0.0
Dataset_X_sc_185.csv,0.5,9.184594594594596,1.36,0.07,4.17,13.62,259.75,244.76,1.93,0.0
Dataset_X_sc_186.csv,0.4499999999999999,8.01,1.47,0.34,4.85,13.25,244.8,252.54,2.26,0.0
Dataset_X_sc_187.csv,0.3599999999999999,7.045945945945945,0.98,-0.03,2.25,14.82,264.75,311.02,1.3099999999999998,0.0
Dataset_X_sc_188.csv,0.4000000000000001,4.092432432432433,1.22,-0.27,1.58,11.58,271.5,359.99,1.35,0.0
Dataset_X_sc_189.csv,0.41,8.669189189189188,1.33,0.07,3.96,12.09,266.31,301.44,1.81,0.0
Dataset_X_sc_19.csv,0.8700000000000001,14.649729729729732,1.92,0.58,5.09,10.75,279.67,88.75,3.37,1188.0
Dataset_X_sc_190.csv,0.3599999999999999,5.96135135135135,1.71,-0.04,1.27,13.67,263.09,83.28,2.03,0.0
Dataset_X_sc_191.csv,0.3499999999999999,6.323513513513514,0.99,0.06,0.61,9.1,266.84,235.87,1.4,0.0
Dataset_X_sc_192.csv,0.3499999999999999,11.196216216216218,1.64,0.08,2.39,15.07,254.8,209.21,2.07,0.0
Dataset_X_sc_193.csv,0.4399999999999999,9.045675675675676,2.24,-0.13,0.9,11.18,269.33,68.44,2.5500000000000003,0.0
Dataset_X_sc_194.csv,0.4000000000000001,8.676486486486487,2.21,-0.21,1.93,15.48,263.02,69.64,2.4,0.0
Dataset_X_sc_195.csv,0.3599999999999999,6.985135135135135,1.96,-0.02,0.85,8.42,355.75,10.47,2.3,0.0
Dataset_X_sc_196.csv,0.41,8.21054054054054,1.99,-0.12,1.33,12.32,256.78,62.83,2.28,0.0
Dataset_X_sc_197.csv,0.42,4.6,1.45,-0.08,0.83,10.61,311.04,316.47,1.7899999999999998,0.0
Dataset_X_sc_198.csv,0.34,2.3616216216216217,1.72,-0.05,1.64,12.16,260.99,215.94,2.01,0.0
Dataset_X_sc_199.csv,0.4399999999999999,6.176756756756757,0.82,0.13,2.32,11.22,250.43,180.24,1.3899999999999997,0.0
Dataset_X_sc_2.csv,1.85,9.797567567567564,1.85,0.1,5.45,11.02,270.2,336.02,3.8,17172.0
Dataset_X_sc_20.csv,0.7899999999999999,25.13972972972973,2.02,0.73,7.54,9.6,260.78,281.28,3.54,7938.0
Dataset_X_sc_200.csv,0.3699999999999999,6.697297297297297,1.57,-0.06,0.92,7.84,273.13,20.32,1.88,0.0
Dataset_X_sc_201.csv,0.4000000000000001,7.65918918918919,1.81,0.23,4.47,14.8,259.16,242.52,2.44,0.0
Dataset_X_sc_202.csv,0.34,9.253783783783785,1.92,0.15,2.15,9.51,263.31,234.45,2.41,0.0
Dataset_X_sc_203.csv,0.5100000000000002,2.562162162162162,1.51,0.1,3.91,13.81,260.29,215.71,2.120000000000001,0.0
Dataset_X_sc_204.csv,0.4399999999999999,7.796486486486487,1.32,-0.05,0.51,8.49,267.6,69.3,1.71,0.0
Dataset_X_sc_205.csv,0.3000000000000001,4.667837837837837,1.96,-0.1,1.08,9.94,289.71,54.56,2.16,0.0
Dataset_X_sc_206.csv,0.42,12.974324324324323,1.97,-0.08,1.52,6.64,169.29,114.81,2.31,0.0
Dataset_X_sc_207.csv,0.3000000000000001,10.083783783783783,1.19,0.07,3.34,12.01,265.31,261.89,1.56,0.0
