Nom_Fichier,S_t0,Hs_t0,Tp_t0,T_t0,NM_t0,U_mean,Niveau_Total_t0
Dataset_X_sc_1.csv,0.47,6.81,19.06,2.21,0.86,16.75702702702703,3.54
Dataset_X_sc_10.csv,0.59,8.76,20.66,2.25,0.95,30.813243243243242,3.79
Dataset_X_sc_100.csv,0.51,5.25,10.87,2.36,0.515,19.42648648648649,3.385
Dataset_X_sc_101.csv,0.07,5.93,13.16,2.4,0.518,13.717567567567567,2.988
Dataset_X_sc_102.csv,0.29,1.12,10.58,2.36,0.374,13.522972972972974,3.024
Dataset_X_sc_103.csv,0.19,1.62,12.06,2.1,0.374,2.212702702702703,2.664
Dataset_X_sc_104.csv,0.35,3.61,11.99,2.28,0.495,10.52,3.125
Dataset_X_sc_105.csv,0.42,4.09,13.46,2.03,0.495,12.942432432432433,2.945
Dataset_X_sc_106.csv,0.28,4.16,15.73,1.99,0.499,3.88,2.769
Dataset_X_sc_107.csv,0.16,4.94,15.73,1.98,0.499,7.508378378378377,2.6390000000000002
Dataset_X_sc_108.csv,0.6,2.58,9.1,2.35,0.521,17.22108108108108,3.471
Dataset_X_sc_109.csv,0.32,4.11,10.27,1.69,0.298,16.442972972972974,2.308
Dataset_X_sc_11.csv,0.5,5.47,17.82,2.44,1.37,13.408378378378378,4.3100000000000005
Dataset_X_sc_110.csv,0.48,5.71,15.13,2.44,0.307,14.537297297297297,3.227
Dataset_X_sc_111.csv,0.15,2.99,10.55,2.19,0.332,11.066486486486488,2.6719999999999997
Dataset_X_sc_112.csv,0.09,4.3,12.41,2.04,0.332,10.117567567567567,2.4619999999999997
Dataset_X_sc_113.csv,0.2,4.21,18.11,1.63,0.357,11.28972972972973,2.187
Dataset_X_sc_114.csv,0.35,4.48,15.92,1.57,0.357,10.885675675675676,2.277
Dataset_X_sc_115.csv,0.25,2.17,9.08,2.33,0.357,3.4572972972972975,2.9370000000000003
Dataset_X_sc_116.csv,0.77,5.25,10.87,2.36,0.515,19.42648648648649,3.645
Dataset_X_sc_117.csv,0.77,5.25,10.87,2.36,0.515,19.42648648648649,3.645
Dataset_X_sc_118.csv,0.77,5.25,10.87,2.36,1.515,19.42648648648649,4.645
Dataset_X_sc_119.csv,0.65,8.99,21.25,2.13,0.462,10.075675675675676,3.242
Dataset_X_sc_12.csv,0.13,1.8,7.67,2.23,1.9,12.245945945945945,4.26
Dataset_X_sc_120.csv,0.55,6.11,18.83,2.06,0.551,13.108648648648648,3.1610000000000005
Dataset_X_sc_121.csv,0.24,3.99,11.17,2.23,0.599,15.399729729729728,3.069
Dataset_X_sc_122.csv,0.35,4.92,9.23,1.98,0.608,16.08486486486487,2.938
Dataset_X_sc_123.csv,0.51,5.75,10.87,2.36,0.615,21.92648648648649,3.4849999999999994
Dataset_X_sc_124.csv,0.28,4.66,15.73,1.99,0.599,6.38,2.8689999999999998
Dataset_X_sc_125.csv,0.6,3.08,9.1,2.35,0.621,19.72108108108108,3.571
Dataset_X_sc_126.csv,0.65,9.49,21.25,2.13,0.562,12.575675675675676,3.342
Dataset_X_sc_127.csv,0.55,6.61,18.83,2.06,0.651,15.608648648648652,3.261
Dataset_X_sc_128.csv,0.24,4.49,11.17,2.23,0.699,17.899729729729728,3.1689999999999996
Dataset_X_sc_129.csv,0.35,5.42,9.23,1.98,0.708,18.58486486486487,3.038
Dataset_X_sc_13.csv,0.78,9.03,18.67,1.94,1.57,16.24891891891892,4.29
Dataset_X_sc_130.csv,0.06,6.89,13.16,2.41,0.718,18.522702702702702,3.188
Dataset_X_sc_131.csv,0.28,5.16,15.73,1.99,0.699,8.879999999999999,2.9690000000000003
Dataset_X_sc_132.csv,0.6,3.58,9.1,2.35,0.721,22.22108108108108,3.6710000000000003
Dataset_X_sc_133.csv,0.16,1.33,12.77,2.5,0.7,8.524864864864863,3.3600000000000003
Dataset_X_sc_134.csv,0.2,1.3,12.58,2.27,0.7,8.12945945945946,3.17
Dataset_X_sc_135.csv,0.19,1.04,11.63,2.56,0.7,7.062972972972974,3.4499999999999997
Dataset_X_sc_136.csv,0.13,0.81,11.89,2.25,0.7,5.7532432432432445,3.08
Dataset_X_sc_137.csv,0.08,0.7,16.61,2.44,0.7,3.923243243243244,3.2199999999999998
Dataset_X_sc_138.csv,0.64,6.35,13.14,2.36,0.91,23.063243243243242,3.91
Dataset_X_sc_139.csv,0.83,5.66,10.49,2.62,0.85,14.142972972972972,4.3
Dataset_X_sc_14.csv,0.55,5.14,11.43,2.58,1.79,17.538378378378383,4.92
Dataset_X_sc_140.csv,0.83,8.5,15.73,2.62,0.85,21.213243243243245,4.3
Dataset_X_sc_141.csv,0.83,8.5,15.73,2.62,0.85,21.213243243243245,4.3
Dataset_X_sc_142.csv,0.83,5.66,15.73,2.62,0.85,14.142972972972972,4.3
Dataset_X_sc_143.csv,0.83,2.0,7.12,2.62,0.85,12.181351351351351,4.3
Dataset_X_sc_144.csv,0.83,3.0,10.68,2.62,0.85,18.27162162162162,4.3
Dataset_X_sc_145.csv,0.83,3.0,10.68,2.62,0.85,18.27162162162162,4.3
Dataset_X_sc_146.csv,0.83,2.0,10.68,2.62,0.85,12.181351351351351,4.3
Dataset_X_sc_147.csv,0.83,4.86,6.88,2.62,0.85,12.443243243243243,4.3
Dataset_X_sc_148.csv,0.83,7.28,10.32,2.62,0.85,18.66594594594595,4.3
Dataset_X_sc_149.csv,0.83,7.28,10.32,2.62,0.85,18.66594594594595,4.3
Dataset_X_sc_15.csv,0.21,3.76,10.41,2.12,1.6,8.187567567567568,3.93
Dataset_X_sc_150.csv,0.83,4.86,10.32,2.62,0.85,12.443243243243243,4.3
Dataset_X_sc_151.csv,0.83,1.44,6.14,2.62,0.85,9.7972972972973,4.3
Dataset_X_sc_152.csv,0.83,2.16,9.2,2.62,0.85,14.694594594594596,4.3
Dataset_X_sc_153.csv,0.83,2.16,9.2,2.62,0.85,14.694594594594596,4.3
Dataset_X_sc_154.csv,0.83,1.44,9.2,2.62,0.85,9.7972972972973,4.3
Dataset_X_sc_155.csv,0.83,3.01,8.33,2.62,0.85,6.551081081081081,4.3
Dataset_X_sc_156.csv,0.83,4.51,12.49,2.62,0.85,9.824054054054054,4.3
Dataset_X_sc_157.csv,0.83,4.51,12.49,2.62,0.85,9.824054054054054,4.3
Dataset_X_sc_158.csv,0.83,3.01,12.49,2.62,0.85,6.551081081081081,4.3
Dataset_X_sc_159.csv,0.83,3.48,9.13,2.62,0.85,8.958648648648651,4.3
Dataset_X_sc_16.csv,0.27,0.55,11.86,2.15,1.73,4.832972972972972,4.15
Dataset_X_sc_160.csv,0.83,5.22,13.69,2.62,0.85,13.438108108108107,4.3
Dataset_X_sc_161.csv,0.83,5.22,13.69,2.62,0.85,13.438108108108107,4.3
Dataset_X_sc_162.csv,0.83,3.48,13.69,2.62,0.85,8.958648648648651,4.3
Dataset_X_sc_163.csv,0.38,2.0,7.12,2.23,1.64,12.181351351351351,4.25
Dataset_X_sc_164.csv,0.38,3.0,10.68,2.23,1.64,18.27162162162162,4.25
Dataset_X_sc_165.csv,0.38,3.0,10.68,2.23,1.64,18.27162162162162,4.25
Dataset_X_sc_166.csv,0.38,2.0,10.68,2.23,1.64,12.181351351351351,4.25
Dataset_X_sc_167.csv,0.67,4.86,6.88,1.83,1.48,12.443243243243243,3.98
Dataset_X_sc_168.csv,0.67,7.28,10.32,1.83,1.48,18.66594594594595,3.98
Dataset_X_sc_169.csv,0.67,7.28,10.32,1.83,1.48,18.66594594594595,3.98
Dataset_X_sc_17.csv,0.58,8.5,12.4,2.21,1.49,33.78351351351351,4.28
Dataset_X_sc_170.csv,0.67,4.86,10.32,1.83,1.48,12.443243243243243,3.98
Dataset_X_sc_171.csv,0.13,1.44,6.14,2.23,1.9,9.7972972972973,4.26
Dataset_X_sc_172.csv,0.13,2.16,9.2,2.23,1.9,14.694594594594596,4.26
Dataset_X_sc_173.csv,0.13,2.16,9.2,2.23,1.9,14.694594594594596,4.26
Dataset_X_sc_174.csv,0.13,1.44,9.2,2.23,1.9,9.7972972972973,4.26
Dataset_X_sc_175.csv,0.21,3.01,8.33,2.12,1.6,6.551081081081081,3.93
Dataset_X_sc_176.csv,0.21,4.51,12.49,2.12,1.6,9.824054054054054,3.93
Dataset_X_sc_177.csv,0.21,4.51,12.49,2.12,1.6,9.824054054054054,3.93
Dataset_X_sc_178.csv,0.21,4.51,12.49,2.12,1.6,9.824054054054054,3.93
Dataset_X_sc_179.csv,0.05,3.48,9.13,2.05,1.94,8.958648648648651,4.04
Dataset_X_sc_18.csv,0.18,3.42,16.47,2.11,0.78,13.256756756756756,3.07
Dataset_X_sc_180.csv,0.05,5.22,13.69,2.05,1.94,13.438108108108107,4.04
Dataset_X_sc_181.csv,0.05,5.22,13.69,2.05,1.94,13.438108108108107,4.04
Dataset_X_sc_182.csv,0.05,3.48,13.69,2.05,1.94,8.958648648648651,4.04
Dataset_X_sc_183.csv,-0.17,2.24,11.2,1.75,0.31,6.583513513513513,1.8900000000000001
Dataset_X_sc_184.csv,-0.06,1.48,6.41,1.43,0.43,5.098648648648648,1.7999999999999998
Dataset_X_sc_185.csv,0.06,3.99,13.49,1.36,0.5,9.184594594594596,1.9200000000000002
Dataset_X_sc_186.csv,0.3,4.53,13.03,1.47,0.45,8.01,2.2199999999999998
Dataset_X_sc_187.csv,-0.04,2.21,14.51,0.98,0.36,7.045945945945945,1.2999999999999998
Dataset_X_sc_188.csv,-0.28,1.54,11.49,1.22,0.4,4.092432432432433,1.34
Dataset_X_sc_189.csv,0.05,3.89,11.65,1.33,0.41,8.669189189189188,1.79
Dataset_X_sc_19.csv,0.57,4.97,10.71,1.92,0.87,14.649729729729732,3.36
Dataset_X_sc_190.csv,-0.05,1.2,13.37,1.71,0.36,5.96135135135135,2.02
Dataset_X_sc_191.csv,0.05,0.59,8.94,0.99,0.35,6.323513513513514,1.39
Dataset_X_sc_192.csv,0.07,2.38,14.98,1.64,0.35,11.196216216216218,2.0599999999999996
Dataset_X_sc_193.csv,-0.13,0.85,10.97,2.24,0.44,9.045675675675676,2.5500000000000003
Dataset_X_sc_194.csv,-0.22,1.92,14.93,2.21,0.4,8.676486486486487,2.3899999999999997
Dataset_X_sc_195.csv,-0.03,0.79,5.75,1.96,0.36,6.985135135135135,2.29
Dataset_X_sc_196.csv,-0.12,1.33,12.04,1.99,0.41,8.21054054054054,2.28
Dataset_X_sc_197.csv,-0.08,0.78,10.07,1.45,0.42,4.6,1.7899999999999998
Dataset_X_sc_198.csv,-0.06,1.56,12.03,1.72,0.34,2.3616216216216217,2.0
Dataset_X_sc_199.csv,0.12,2.3,11.02,0.82,0.44,6.176756756756757,1.38
Dataset_X_sc_2.csv,0.08,5.21,10.33,1.85,1.85,9.797567567567565,3.7800000000000002
Dataset_X_sc_20.csv,0.72,7.45,9.16,2.02,0.79,25.13972972972973,3.5300000000000002
Dataset_X_sc_200.csv,-0.06,0.9,7.78,1.57,0.37,6.697297297297297,1.88
Dataset_X_sc_201.csv,0.19,4.31,14.35,1.81,0.4,7.65918918918919,2.4
Dataset_X_sc_202.csv,0.15,2.03,9.4,1.92,0.34,9.253783783783785,2.4099999999999997
Dataset_X_sc_203.csv,0.09,3.88,13.67,1.51,0.51,2.562162162162162,2.11
Dataset_X_sc_204.csv,-0.06,0.47,8.44,1.32,0.44,7.796486486486487,1.7
Dataset_X_sc_205.csv,-0.11,1.0,9.69,1.96,0.3,4.667837837837837,2.15
Dataset_X_sc_206.csv,-0.09,1.49,5.32,1.97,0.42,12.974324324324325,2.3000000000000003
Dataset_X_sc_207.csv,0.06,3.3,11.49,1.19,0.3,10.083783783783785,1.55
Dataset_X_sc_208.csv,0.37,2.59,12.25,0.83,0.37,5.185675675675675,1.5699999999999998
Dataset_X_sc_209.csv,0.3,0.48,7.75,0.81,0.3,4.928378378378378,1.4100000000000001
Dataset_X_sc_21.csv,0.16,3.8,12.05,1.9,0.57,2.0454054054054054,2.63
Dataset_X_sc_210.csv,-0.02,0.6,7.7,1.74,0.38,6.334324324324324,2.1
Dataset_X_sc_211.csv,0.03,2.06,9.08,1.52,0.44,9.082432432432434,1.99
Dataset_X_sc_212.csv,0.13,3.46,14.27,1.71,0.5,10.52918918918919,2.34
Dataset_X_sc_213.csv,0.02,1.73,10.68,2.03,0.43,5.300540540540539,2.48
Dataset_X_sc_214.csv,-0.06,1.86,11.94,1.43,0.41,3.864054054054054,1.7799999999999998
Dataset_X_sc_215.csv,0.03,0.38,7.57,2.38,0.38,4.0186486486486475,2.7899999999999996
Dataset_X_sc_216.csv,-0.1,0.4,8.24,1.8,0.53,5.928108108108108,2.23
Dataset_X_sc_217.csv,-0.1,3.06,13.92,1.51,0.42,11.35837837837838,1.8299999999999998
Dataset_X_sc_218.csv,0.06,1.93,11.61,1.9,0.46,6.060810810810811,2.42
Dataset_X_sc_219.csv,0.04,2.45,10.85,0.71,0.42,8.84918918918919,1.17
Dataset_X_sc_22.csv,0.5,7.87,18.94,2.21,0.36,16.325675675675676,3.07
Dataset_X_sc_220.csv,-0.02,0.57,6.56,1.72,0.38,6.330540540540541,2.08
Dataset_X_sc_221.csv,-0.12,1.33,13.59,1.81,0.44,4.347297297297299,2.13
Dataset_X_sc_222.csv,-0.22,1.4,10.73,1.26,0.3,5.638108108108108,1.34
Dataset_X_sc_223.csv,0.23,2.28,5.29,1.85,0.51,16.24081081081081,2.5900000000000003
Dataset_X_sc_224.csv,-0.05,1.52,10.55,1.48,0.43,5.716486486486487,1.8599999999999999
Dataset_X_sc_225.csv,0.23,3.39,10.26,0.92,0.51,11.27918918918919,1.6600000000000001
Dataset_X_sc_226.csv,-0.04,0.67,6.74,1.67,0.3,4.0275675675675675,1.93
Dataset_X_sc_227.csv,-0.25,2.61,16.15,1.08,0.47,3.256756756756757,1.3
Dataset_X_sc_228.csv,-0.09,0.9,9.16,1.39,0.47,4.301621621621622,1.7699999999999998
Dataset_X_sc_229.csv,-0.1,0.69,6.99,1.57,0.43,2.1110810810810805,1.9
Dataset_X_sc_23.csv,0.77,10.23,18.18,1.98,0.57,27.830270270270272,3.32
Dataset_X_sc_230.csv,-0.06,0.5,8.01,2.27,0.46,5.107297297297297,2.67
Dataset_X_sc_231.csv,-0.01,0.63,8.98,1.58,0.5,3.4956756756756757,2.0700000000000003
Dataset_X_sc_232.csv,0.05,0.71,9.73,1.39,0.48,2.3891891891891888,1.92
Dataset_X_sc_233.csv,-0.06,1.17,9.51,1.45,0.39,5.7594594594594595,1.7799999999999998
Dataset_X_sc_234.csv,-0.04,4.74,12.62,2.23,0.3,8.638378378378379,2.4899999999999998
Dataset_X_sc_235.csv,-0.04,1.17,8.02,1.87,0.4,7.851081081081081,2.23
Dataset_X_sc_236.csv,0.04,1.71,11.36,0.87,0.43,6.288378378378378,1.34
Dataset_X_sc_237.csv,-0.1,0.85,13.2,1.24,0.46,4.197837837837838,1.5999999999999999
Dataset_X_sc_238.csv,0.0,0.61,8.28,2.01,0.42,4.0735135135135145,2.4299999999999997
Dataset_X_sc_239.csv,0.53,4.55,17.61,2.34,0.41,8.171891891891894,3.2800000000000002
Dataset_X_sc_24.csv,0.55,5.54,14.64,1.81,1.75,15.030270270270268,4.11
Dataset_X_sc_240.csv,0.69,5.3,14.42,2.17,0.41,8.929189189189191,3.27
Dataset_X_sc_241.csv,0.05,3.04,10.0,2.72,0.532,9.858108108108109,3.302
Dataset_X_sc_242.csv,0.11,1.94,9.63,2.66,0.532,9.656486486486486,3.302
Dataset_X_sc_243.csv,-0.06,5.8,13.61,2.47,0.532,16.026756756756757,2.942
Dataset_X_sc_244.csv,-0.02,2.82,12.5,2.73,0.532,10.186216216216216,3.242
Dataset_X_sc_245.csv,-0.06,0.73,11.05,2.7,0.532,1.5183783783783786,3.172
Dataset_X_sc_246.csv,0.3,5.98,13.16,1.88,0.532,16.43297297297297,2.7119999999999997
Dataset_X_sc_247.csv,-0.02,0.78,9.26,2.71,0.532,4.7535135135135125,3.222
Dataset_X_sc_248.csv,0.29,3.87,10.27,2.42,0.532,15.316486486486488,3.242
Dataset_X_sc_249.csv,0.16,4.78,10.64,2.55,0.532,15.985675675675674,3.242
Dataset_X_sc_25.csv,0.67,6.07,8.6,1.83,1.48,15.554594594594594,3.98
Dataset_X_sc_250.csv,0.32,3.61,12.2,2.34,0.532,13.739459459459459,3.1919999999999997
Dataset_X_sc_26.csv,0.24,3.2,12.96,2.2,1.87,6.507027027027027,4.3100000000000005
Dataset_X_sc_27.csv,0.75,6.27,14.46,2.2,1.06,16.752972972972973,4.01
Dataset_X_sc_28.csv,0.15,4.84,14.19,2.56,0.78,13.046756756756757,3.4899999999999998
Dataset_X_sc_29.csv,0.7,5.16,8.91,2.18,0.42,16.871891891891895,3.3
Dataset_X_sc_3.csv,0.56,6.52,25.16,1.93,1.94,20.51891891891892,4.43
Dataset_X_sc_30.csv,0.47,5.27,18.87,1.85,0.92,15.421891891891892,3.24
Dataset_X_sc_31.csv,0.61,9.58,18.34,2.38,1.64,21.837027027027027,4.63
Dataset_X_sc_32.csv,0.0,4.78,12.53,1.87,0.61,8.554864864864864,2.48
Dataset_X_sc_33.csv,0.7,8.31,25.86,2.15,0.43,21.339729729729733,3.2800000000000002
Dataset_X_sc_34.csv,0.69,6.15,13.91,1.83,1.57,21.936486486486487,4.09
Dataset_X_sc_35.csv,0.23,3.98,13.67,2.11,1.96,5.827837837837839,4.300000000000001
Dataset_X_sc_36.csv,0.13,4.11,13.34,2.18,1.83,18.09486486486486,4.14
Dataset_X_sc_37.csv,0.33,2.29,9.87,2.08,0.8,11.009729729729731,3.21
Dataset_X_sc_38.csv,0.1,3.84,20.77,1.99,0.62,12.347027027027028,2.71
Dataset_X_sc_39.csv,0.83,7.08,13.11,2.62,0.85,17.67810810810811,4.3
Dataset_X_sc_4.csv,0.53,6.62,9.96,2.44,1.83,14.519459459459457,4.8
Dataset_X_sc_40.csv,0.89,5.72,16.84,2.09,0.58,16.446486486486485,3.56
Dataset_X_sc_41.csv,0.38,5.11,13.26,1.93,0.33,14.594864864864865,2.6399999999999997
Dataset_X_sc_42.csv,0.52,5.54,18.25,1.86,1.59,27.532702702702704,3.97
Dataset_X_sc_43.csv,0.12,4.05,10.53,1.88,0.84,17.935675675675675,2.84
Dataset_X_sc_44.csv,0.09,4.12,8.98,1.98,1.7,12.658918918918921,3.7699999999999996
Dataset_X_sc_45.csv,0.81,7.13,12.42,1.93,0.81,15.293243243243245,3.5500000000000003
Dataset_X_sc_46.csv,0.38,2.5,8.9,2.23,1.64,15.226486486486486,4.25
Dataset_X_sc_47.csv,0.49,6.1,10.52,1.98,0.83,15.20405405405405,3.3
Dataset_X_sc_48.csv,0.78,7.45,14.48,2.58,1.39,14.704594594594592,4.75
Dataset_X_sc_49.csv,0.78,5.36,12.45,1.82,0.88,16.69351351351351,3.4800000000000004
Dataset_X_sc_5.csv,0.22,1.23,14.03,2.16,0.46,13.583513513513514,2.8400000000000003
Dataset_X_sc_50.csv,0.8,8.93,18.16,2.27,0.77,20.895945945945947,3.84
Dataset_X_sc_51.csv,0.76,5.49,19.07,2.07,1.56,15.857027027027025,4.39
Dataset_X_sc_52.csv,0.43,3.92,12.29,2.18,1.63,14.51945945945946,4.24
Dataset_X_sc_53.csv,0.29,4.0,12.41,2.08,0.56,6.776216216216215,2.93
Dataset_X_sc_54.csv,0.49,7.92,12.85,2.18,0.53,21.30837837837838,3.2
Dataset_X_sc_55.csv,0.25,1.82,6.15,2.03,1.53,12.400540540540542,3.8099999999999996
Dataset_X_sc_56.csv,0.41,6.26,13.8,1.86,1.35,21.184594594594593,3.62
Dataset_X_sc_57.csv,0.83,7.61,24.34,2.25,0.82,17.8854054054054,3.9
Dataset_X_sc_58.csv,0.19,3.03,10.31,2.37,1.38,12.562162162162162,3.94
Dataset_X_sc_59.csv,0.12,5.16,15.6,2.07,1.97,12.011621621621622,4.16
Dataset_X_sc_6.csv,0.6,3.22,9.71,2.21,1.38,8.230540540540542,4.1899999999999995
Dataset_X_sc_60.csv,0.15,3.78,14.41,1.91,0.37,15.307027027027031,2.4299999999999997
Dataset_X_sc_61.csv,0.23,1.45,11.08,1.99,1.76,11.454324324324324,3.98
Dataset_X_sc_62.csv,0.63,5.91,21.67,2.0,1.56,13.339729729729731,4.19
Dataset_X_sc_63.csv,0.13,4.41,9.75,2.01,1.18,11.623243243243245,3.3199999999999994
Dataset_X_sc_64.csv,0.63,6.67,20.06,2.46,0.8,14.57027027027027,3.8899999999999997
Dataset_X_sc_65.csv,0.78,6.25,19.1,1.9,1.31,14.78216216216216,3.99
Dataset_X_sc_66.csv,0.79,7.27,14.85,2.27,0.36,18.25918918918919,3.42
Dataset_X_sc_67.csv,0.48,8.16,16.65,1.96,1.64,21.96108108108108,4.08
Dataset_X_sc_68.csv,0.73,6.15,10.45,2.33,0.85,21.776756756756757,3.91
Dataset_X_sc_69.csv,0.34,1.7,11.19,2.14,1.34,7.23972972972973,3.8200000000000003
Dataset_X_sc_7.csv,0.26,2.79,10.82,1.83,1.9,7.102972972972973,3.99
Dataset_X_sc_70.csv,0.26,1.99,12.91,2.05,1.21,9.777297297297299,3.5199999999999996
Dataset_X_sc_71.csv,0.07,3.59,9.58,1.85,1.19,16.41918918918919,3.11
Dataset_X_sc_72.csv,0.5,9.67,25.71,1.96,1.84,20.293513513513513,4.3
Dataset_X_sc_73.csv,0.08,3.06,10.78,2.31,0.59,11.71054054054054,2.98
Dataset_X_sc_74.csv,0.04,4.97,13.44,2.04,0.49,14.865675675675675,2.5700000000000003
Dataset_X_sc_75.csv,0.23,3.07,12.04,1.84,0.62,13.757567567567568,2.69
Dataset_X_sc_76.csv,0.5,7.37,14.12,1.84,0.89,17.08972972972973,3.23
Dataset_X_sc_77.csv,0.26,4.94,11.15,2.02,1.79,15.513783783783783,4.07
Dataset_X_sc_78.csv,0.84,8.44,15.17,2.18,0.91,28.99486486486487,3.93
Dataset_X_sc_79.csv,0.5,5.21,10.81,2.2,0.74,20.919729729729728,3.4400000000000004
Dataset_X_sc_8.csv,0.5,5.57,9.7,2.42,1.36,15.009729729729727,4.28
Dataset_X_sc_80.csv,0.67,7.91,10.51,1.97,1.0,19.489459459459457,3.6399999999999997
Dataset_X_sc_81.csv,0.14,3.9,11.59,2.0,1.61,8.452702702702704,3.7500000000000004
Dataset_X_sc_82.csv,0.15,2.6,9.83,1.84,0.56,12.132702702702701,2.5500000000000003
Dataset_X_sc_83.csv,0.51,6.91,22.44,2.14,0.6,18.652702702702705,3.25
Dataset_X_sc_84.csv,0.21,3.54,10.03,1.82,1.27,14.236486486486486,3.3
Dataset_X_sc_85.csv,0.23,5.49,14.81,2.18,1.97,16.334324324324324,4.380000000000001
Dataset_X_sc_86.csv,0.21,2.37,6.81,1.92,1.51,11.347567567567568,3.6399999999999997
Dataset_X_sc_87.csv,0.51,8.92,17.2,2.15,0.39,19.74324324324324,3.05
Dataset_X_sc_88.csv,0.08,4.96,15.3,1.89,1.7,10.954864864864865,3.67
Dataset_X_sc_89.csv,0.26,3.42,9.15,1.95,0.68,1.6143243243243244,2.8899999999999997
Dataset_X_sc_9.csv,0.36,2.23,7.74,1.85,1.87,8.295945945945943,4.08
Dataset_X_sc_90.csv,0.1,3.84,10.4,2.34,1.48,13.000270270270272,3.92
Dataset_X_sc_91.csv,0.36,7.37,15.57,2.25,0.91,15.864864864864868,3.52
Dataset_X_sc_92.csv,0.05,4.35,11.41,2.05,1.94,11.198378378378377,4.04
Dataset_X_sc_93.csv,0.15,2.85,11.53,1.84,1.37,13.372432432432435,3.36
Dataset_X_sc_94.csv,0.06,4.18,11.76,1.96,0.6,8.212972972972974,2.62
Dataset_X_sc_95.csv,0.65,8.49,21.25,2.13,0.362,7.575675675675676,3.142
Dataset_X_sc_96.csv,0.55,5.61,18.83,2.06,0.451,10.608648648648648,3.061
Dataset_X_sc_97.csv,0.41,6.85,18.64,1.9,0.451,12.014864864864863,2.761
Dataset_X_sc_98.csv,0.24,3.49,11.17,2.23,0.499,12.899729729729728,2.9690000000000003
Dataset_X_sc_99.csv,0.35,4.42,9.23,1.98,0.508,13.584864864864866,2.838
Dataset_Y_sc_all.csv,0.0,0.0,0.0,0.0,0.0,6.856948271058415e-05,0.0
